"","Genes","Preflower1","Postflower1","Preflower2","Postflower1","Preflower3","Postflower3","V8"
"1",NA,"Genes","Preflower1","Postflower1","Preflower2","Postflower1","Preflower3","Postflower3"
"2",1,"Solyc00g500001.1","0","0","0","0","0","0"
"3",2,"Solyc00g500002.1","0","0","0","0","0","0"
"4",3,"Solyc00g500003.1","0","0","0","0","0","0"
"5",4,"Solyc00g500004.1","0","0","0","0","0","0"
"6",5,"Solyc00g500005.1","0","0","0","0","0","0"
"7",6,"Solyc00g500006.1","0","0","0","0","0","0"
"8",7,"Solyc00g500007.1","0","0","0","0","0","0"
"9",8,"Solyc00g500008.1","0","0","0","0","0","0"
"10",9,"Solyc00g500009.1","0","0","0","0","0","0"
"11",10,"Solyc00g500010.1","0","0","0","0","0","0"
"12",11,"Solyc00g500011.1","0","0","0","0","0","0"
"13",12,"Solyc00g500012.1","0","0","0","0","0","0"
"14",13,"Solyc00g500013.1","0","0","0","0","0","0"
"15",14,"Solyc00g500014.1","0","0","0","0","0","0"
"16",15,"Solyc00g500015.1","0","0","0","0","0","0"
"17",16,"Solyc00g500016.1","0","0","0","0","0","0"
"18",17,"Solyc00g500017.1","0","0","0","0","0","0"
"19",18,"Solyc00g500018.1","0","0","0","0","0","0"
"20",19,"Solyc00g014290.1","0","0","0","0","0","0"
"21",20,"Solyc00g005280.1","0","0","0","0","0","0"
"22",21,"Solyc00g500019.1","0","0","0","0","0","0"
"23",22,"Solyc00g500020.1","0","0","0","0","0","0"
"24",23,"Solyc00g500021.1","0","0","0","0","0","0"
"25",24,"Solyc00g500022.1","0","0","0","0","0","0"
"26",25,"Solyc00g180440.1","0","0","0","0","0","0"
"27",26,"Solyc00g500023.1","1","0","4","0","0","0"
"28",27,"Solyc00g500024.1","4","1","3","0","2","0"
"29",28,"Solyc00g500025.1","0","0","0","0","0","0"
"30",29,"Solyc00g500026.1","0","0","0","0","0","0"
"31",30,"Solyc00g500027.1","0","1","0","0","0","0"
"32",31,"Solyc00g500028.1","0","0","0","0","2","1"
"33",32,"Solyc00g500029.1","0","0","0","0","0","0"
"34",33,"Solyc00g500030.1","0","0","0","0","0","0"
"35",34,"Solyc00g500031.1","0","0","0","0","0","0"
"36",35,"Solyc00g500032.1","0","0","0","0","0","0"
"37",36,"Solyc00g500033.1","0","0","0","0","0","0"
"38",37,"Solyc00g500034.1","0","0","0","0","0","0"
"39",38,"Solyc00g500035.1","0","0","0","0","0","0"
"40",39,"Solyc00g500036.1","0","0","0","0","0","0"
"41",40,"Solyc00g500037.1","1","0","0","0","0","0"
"42",41,"Solyc00g500038.1","0","0","0","0","0","0"
"43",42,"Solyc00g500039.1","0","0","1","0","0","0"
"44",43,"Solyc00g500040.1","0","0","0","0","0","0"
"45",44,"Solyc00g500041.1","0","0","0","0","1","0"
"46",45,"Solyc00g500042.1","0","0","1","0","0","0"
"47",46,"Solyc00g500043.1","0","0","0","0","1","0"
"48",47,"Solyc00g500044.1","0","0","0","0","0","0"
"49",48,"Solyc00g500045.1","0","0","0","0","0","0"
"50",49,"Solyc00g500046.1","0","0","0","0","0","0"
"51",50,"Solyc00g500047.1","0","0","0","0","0","0"
"52",51,"Solyc00g277510.1","4","5","2","3","0","0"
"53",52,"Solyc00g500048.1","0","1","1","0","0","0"
"54",53,"Solyc00g500049.1","0","0","0","0","0","0"
"55",54,"Solyc00g500050.1","0","0","0","1","0","0"
"56",55,"Solyc00g500051.1","0","0","0","0","1","0"
"57",56,"Solyc00g500052.1","1","0","0","0","0","1"
"58",57,"Solyc00g500053.1","0","0","0","0","0","0"
"59",58,"Solyc00g500054.1","0","1","1","0","2","0"
"60",59,"Solyc00g500055.1","0","0","0","0","0","0"
"61",60,"Solyc00g500056.1","1","3","2","2","1","1"
"62",61,"Solyc00g500057.1","0","0","0","0","1","0"
"63",62,"Solyc00g500058.1","0","0","0","0","0","0"
"64",63,"Solyc00g500059.1","0","0","0","0","0","0"
"65",64,"Solyc00g500060.1","0","0","0","0","0","0"
"66",65,"Solyc00g500061.1","0","0","0","0","1","0"
"67",66,"Solyc00g500062.1","45","27","46","8","25","16"
"68",67,"Solyc00g500063.1","3010","1929","3286","292","1311","1247"
"69",68,"Solyc00g500064.1","236","191","275","57","136","100"
"70",69,"Solyc00g500065.1","174","103","138","18","76","44"
"71",70,"Solyc00g500066.1","30","19","18","2","14","8"
"72",71,"Solyc00g500067.1","0","0","0","0","0","0"
"73",72,"Solyc00g500068.1","0","0","0","0","0","0"
"74",73,"Solyc00g500069.1","2","1","0","3","2","0"
"75",74,"Solyc00g500070.1","0","0","0","0","0","0"
"76",75,"Solyc00g500071.1","0","0","0","0","0","1"
"77",76,"Solyc00g500072.1","0","0","0","0","0","0"
"78",77,"Solyc00g500073.1","0","0","0","0","0","0"
"79",78,"Solyc00g500074.1","0","0","0","0","0","0"
"80",79,"Solyc00g500075.1","2","0","0","0","0","0"
"81",80,"Solyc00g500076.1","0","0","0","0","0","0"
"82",81,"Solyc00g500077.1","0","0","0","0","0","0"
"83",82,"Solyc00g500078.1","0","0","0","0","0","0"
"84",83,"Solyc00g500079.1","0","0","0","0","0","0"
"85",84,"Solyc00g500080.1","0","0","0","0","0","0"
"86",85,"Solyc00g500081.1","0","0","0","0","0","0"
"87",86,"Solyc00g500082.1","0","0","0","0","0","0"
"88",87,"Solyc00g500083.1","1","4","1","1","0","0"
"89",88,"Solyc00g500084.1","0","0","0","0","0","0"
"90",89,"Solyc00g500085.1","0","0","0","0","0","0"
